,cwgp_combination,result
205,"(('sal', 1), ('box_cox', 1), ('sa', 3))","(0.004014216279215261, 0.004853786888920925)"
206,"(('sal', 1), ('box_cox', 1), ('sal', 2))","(0.0030263357132862506, 0.0039804749187452955)"
207,"(('sal', 1), ('box_cox', 1), ('sal', 3))","(0.0031387419983055697, 0.0037232133205472168)"
208,"(('sal', 1), ('box_cox', 1), ('box_cox', 2))","(0.005796551701687065, 0.006262204337238884)"
209,"(('sal', 1), ('box_cox', 1), ('box_cox', 3))","(0.006933829294701698, 0.007257612449953482)"
210,"(('sal', 1), ('box_cox', 2), ('sa', 1))","(0.0035085190036304647, 0.0044310454890843)"
211,"(('sal', 1), ('box_cox', 2), ('sa', 2))","(0.003508539110228716, 0.0044310669280748045)"
212,"(('sal', 1), ('box_cox', 2), ('sa', 3))","(0.004821238578224403, 0.00543650695034755)"
213,"(('sal', 1), ('box_cox', 2), ('sal', 2))","(0.0053569056983452734, 0.0059288904181776505)"
214,"(('sal', 1), ('box_cox', 2), ('sal', 3))","(0.004803611597368176, 0.0054386281955966275)"
215,"(('sal', 1), ('box_cox', 2), ('box_cox', 1))","(0.004695737398448969, 0.005379274747655889)"
216,"(('sal', 1), ('box_cox', 2), ('box_cox', 3))","(0.004811929386828133, 0.005406707862850037)"
217,"(('sal', 1), ('box_cox', 3), ('sa', 1))","(0.0032288142671143666, 0.004132596231726355)"
218,"(('sal', 1), ('box_cox', 3), ('sa', 2))","(0.00323350070627898, 0.004120358130741463)"
219,"(('sal', 1), ('box_cox', 3), ('sa', 3))","(0.0028748396636525714, 0.003827276777796201)"
220,"(('sal', 1), ('box_cox', 3), ('sal', 2))","(0.002937072303717211, 0.003877232337321751)"
221,"(('sal', 1), ('box_cox', 3), ('sal', 3))","(0.002986846335792647, 0.0039010136345633546)"
222,"(('sal', 1), ('box_cox', 3), ('box_cox', 1))","(0.004203441589703534, 0.004933312714687978)"
223,"(('sal', 1), ('box_cox', 3), ('box_cox', 2))","(0.007180174397136981, 0.007482211422373313)"
224,"(('sal', 2), ('sa', 1), ('sa', 2))","(0.0032512032957768555, 0.004126040102715818)"
225,"(('sal', 2), ('sa', 1), ('sa', 3))","(0.003238730548593511, 0.003920485055061574)"
226,"(('sal', 2), ('sa', 1), ('sal', 1))","(0.0032358934851560717, 0.00396578518418874)"
227,"(('sal', 2), ('sa', 1), ('sal', 3))","(0.08745490715221067, 0.08756660177018555)"
228,"(('sal', 2), ('sa', 1), ('box_cox', 1))","(0.003099132269829802, 0.003799370303882353)"
229,"(('sal', 2), ('sa', 1), ('box_cox', 2))","(0.0030098089285708935, 0.0034536852974414818)"
230,"(('sal', 2), ('sa', 1), ('box_cox', 3))","(0.0031973197372966167, 0.003734237174975275)"
231,"(('sal', 2), ('sa', 2), ('sa', 1))","(0.0035324901160637807, 0.004468912604733218)"
232,"(('sal', 2), ('sa', 2), ('sa', 3))","(0.0033312560248590995, 0.004082726651275364)"
233,"(('sal', 2), ('sa', 2), ('sal', 1))","(0.0032245942170092334, 0.003955202255483819)"
234,"(('sal', 2), ('sa', 2), ('sal', 3))","(0.003321385445886179, 0.004378150317470818)"
235,"(('sal', 2), ('sa', 2), ('box_cox', 1))","(0.005858185048884016, 0.006336711530322267)"
236,"(('sal', 2), ('sa', 2), ('box_cox', 2))","(0.0032453408053864812, 0.003915991533277681)"
237,"(('sal', 2), ('sa', 2), ('box_cox', 3))","(0.003347284906318352, 0.0036445593441201372)"
238,"(('sal', 2), ('sa', 3), ('sa', 1))","(0.003072492196383804, 0.003558967622339403)"
239,"(('sal', 2), ('sa', 3), ('sa', 2))","(0.0035315407116576847, 0.004467609801772348)"
240,"(('sal', 2), ('sa', 3), ('sal', 1))","(0.0032652001426949073, 0.003997246018381577)"
241,"(('sal', 2), ('sa', 3), ('sal', 3))","(0.052182003782410336, 0.05236898394397167)"
242,"(('sal', 2), ('sa', 3), ('box_cox', 1))","(0.0032454771138042482, 0.0037617016214317868)"
243,"(('sal', 2), ('sa', 3), ('box_cox', 2))","(0.003136263096802455, 0.003530951246073399)"
244,"(('sal', 2), ('sa', 3), ('box_cox', 3))","(0.003205973763154358, 0.0036645041132366478)"
245,"(('sal', 2), ('sal', 1), ('sa', 1))","(0.0033382466907875114, 0.004294361378093072)"
246,"(('sal', 2), ('sal', 1), ('sa', 2))","(0.0032648197855103572, 0.003984195066398667)"
247,"(('sal', 2), ('sal', 1), ('sa', 3))","(0.0032239577324104135, 0.00396096337569245)"
248,"(('sal', 2), ('sal', 1), ('sal', 3))","(0.0029829754827528643, 0.0035375340639712182)"
249,"(('sal', 2), ('sal', 1), ('box_cox', 1))","(0.004439772671646565, 0.006013683927228167)"
250,"(('sal', 2), ('sal', 1), ('box_cox', 2))","(0.004995940604314535, 0.0056467046134786635)"
251,"(('sal', 2), ('sal', 1), ('box_cox', 3))","(0.0052371604695064045, 0.005791363135202087)"
252,"(('sal', 2), ('sal', 3), ('sa', 1))","(0.003278653648457003, 0.003913391724757841)"
253,"(('sal', 2), ('sal', 3), ('sa', 2))","(0.0030887797227668206, 0.003722900590681119)"
254,"(('sal', 2), ('sal', 3), ('sa', 3))","(0.0031272205771183154, 0.0038673203273281026)"
255,"(('sal', 2), ('sal', 3), ('sal', 1))","(0.4280691374171459, 0.4280919706904532)"
256,"(('sal', 2), ('sal', 3), ('box_cox', 1))","(0.005508601376381844, 0.006812941427973504)"
257,"(('sal', 2), ('sal', 3), ('box_cox', 2))","(3.1231963086008983, 7.9482525842896585)"
258,"(('sal', 2), ('sal', 3), ('box_cox', 3))","(0.009214040507272061, 0.009396980991086597)"
259,"(('sal', 2), ('box_cox', 1), ('sa', 1))","(0.0032370326913129443, 0.0038398755126441628)"
260,"(('sal', 2), ('box_cox', 1), ('sa', 2))","(0.0031948987596473626, 0.0037804941308235106)"
261,"(('sal', 2), ('box_cox', 1), ('sa', 3))","(0.0033330352428616755, 0.004094391452631386)"
262,"(('sal', 2), ('box_cox', 1), ('sal', 1))","(0.010467833391789163, 0.010659969053460365)"
263,"(('sal', 2), ('box_cox', 1), ('sal', 3))","(0.0026777449775627743, 0.003473337712268175)"
264,"(('sal', 2), ('box_cox', 1), ('box_cox', 2))","(0.009379313722104913, 0.009572374397789461)"
265,"(('sal', 2), ('box_cox', 1), ('box_cox', 3))","(0.004796240813215026, 0.00547260750898272)"
266,"(('sal', 2), ('box_cox', 2), ('sa', 1))","(0.003340375926955491, 0.00358960579787514)"
